,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,Kyrylivka,46.3759,35.3675,299.82,55,50,3.35,UA,1658674736
91,San Jose,37.3394,-121.895,289.72,83,0,3.6,US,1658674736
92,Kamaishi,39.2667,141.8833,295.01,92,82,1.46,JP,1658674742
93,Mahibadhoo,3.7833,72.9667,301.11,76,38,5.1,MV,1658674742
94,Saskylakh,71.9167,114.0833,289.78,72,100,3.52,RU,1658674742
95,Nachingwea,-10.3833,38.7667,300.09,33,11,1.49,TZ,1658674743
96,Hilo,19.7297,-155.09,298.86,91,100,2.06,US,1658674628
97,Haines Junction,60.7522,-137.5108,280.12,93,100,0.0,CA,1658674743
98,Port Alfred,-33.5906,26.891,287.14,88,77,1.79,ZA,1658674743
99,Adrar,20.5022,-10.0711,315.87,5,6,5.4,MR,1658674744
100,Provideniya,64.3833,-173.3,278.44,92,100,2.49,RU,1658674744
101,Sochi,43.6,39.7303,296.2,71,13,1.71,RU,1658674745
102,Kindu,-2.95,25.95,298.06,72,97,1.25,CD,1658674745
103,Husavik,66.0449,-17.3389,283.22,81,95,3.12,IS,1658674745
104,Isla Mujeres,21.2311,-86.731,302.13,79,98,4.68,MX,1658674746
105,Bluff,-46.6,168.3333,276.93,84,19,1.65,NZ,1658674746
106,Yerbogachën,61.2767,108.0108,290.21,77,84,1.24,RU,1658674746
107,Waupun,43.6333,-88.7296,297.23,84,79,5.63,US,1658674746
108,Kuching,1.55,110.3333,298.27,94,20,2.24,MY,1658674747
109,Puerto Ayora,-0.7393,-90.3518,296.13,86,53,3.58,EC,1658674747
110,Naryan-Mar,67.6713,53.087,285.01,68,100,4.91,RU,1658674748
111,Ucluelet,48.9329,-125.5528,286.53,93,44,1.1,CA,1658674748
112,Constitución,-35.3333,-72.4167,285.92,88,100,5.2,CL,1658674748
113,Nikolskoye,59.7035,30.7861,295.3,76,100,2.11,RU,1658674749
114,Sāyla,22.55,71.4667,299.92,81,100,6.71,IN,1658674749
115,Pochutla,15.7432,-96.4661,302.49,72,99,0.35,MX,1658674749
116,Halifax,44.6453,-63.5724,304.55,73,25,2.57,CA,1658674673
117,Hermanus,-34.4187,19.2345,288.6,60,3,6.06,ZA,1658674453
118,Trairi,-3.2778,-39.2689,303.9,51,26,6.53,BR,1658674532
119,Dingle,10.9995,122.6711,298.25,89,97,1.06,PH,1658674750
120,Mount Isa,-20.7333,139.5,285.02,66,0,0.0,AU,1658674750
121,Lavrentiya,65.5833,-171.0,277.68,94,100,4.12,RU,1658674751
122,Kallaste,58.655,27.1592,294.28,82,62,4.54,EE,1658674751
123,Xiaoweizhai,26.1903,107.5125,296.24,92,0,2.38,CN,1658674751
124,Shingū,33.7333,135.9833,296.84,89,100,1.46,JP,1658674752
125,Biak,-0.9131,122.8766,297.03,84,89,2.71,ID,1658674752
126,Dajabón,19.5488,-71.7083,305.41,41,1,4.21,DO,1658674752
127,Khatanga,71.9667,102.5,294.44,53,100,4.81,RU,1658674753
128,Nanortalik,60.1432,-45.2371,282.6,73,100,1.59,GL,1658674753
129,Methóni,36.8197,21.7049,308.27,58,0,5.79,GR,1658674753
130,Linqing,36.8456,115.7117,298.18,82,0,4.55,CN,1658674754
131,Boende,-0.2167,20.8667,304.88,48,44,1.01,CD,1658674754
132,Umluj,25.0213,37.2685,303.36,65,74,2.98,SA,1658674754
133,Jiexiu,37.0244,111.9125,298.35,50,0,1.95,CN,1658674755
134,Tubajon,10.3317,125.5619,299.53,81,100,1.84,PH,1658674755
135,Ribeira Grande,38.5167,-28.7,299.37,78,40,5.14,PT,1658674755
136,Deep River,46.1001,-77.4995,293.15,96,100,2.71,CA,1658674755
137,Mont-Dore,-22.2833,166.5833,297.04,99,60,2.94,NC,1658674761
138,Jamestown,42.097,-79.2353,297.88,85,100,3.06,US,1658674761
139,Aban,56.67,96.06,291.31,59,79,3.39,RU,1658674762
140,Vilyuysk,63.7553,121.6247,289.74,78,8,3.06,RU,1658674762
141,Ozernovskiy,51.5,156.5167,284.94,94,100,0.94,RU,1658674763
142,Dunedin,-45.8742,170.5036,280.26,75,11,1.55,NZ,1658674598
143,Jiehu,35.5428,118.455,296.06,92,0,2.26,CN,1658674763
144,Kungurtug,50.5994,97.5228,283.77,79,12,1.11,RU,1658674763
145,Cap Malheureux,-19.9842,57.6142,293.97,70,3,2.24,MU,1658674764
146,Rundu,-17.9333,19.7667,301.52,16,0,2.63,NA,1658674764
147,Lodwar,3.1191,35.5973,306.44,29,63,3.25,KE,1658674764
148,Cape Town,-33.9258,18.4232,292.1,58,0,5.14,ZA,1658674583
149,Arraial do Cabo,-22.9661,-42.0278,299.13,57,0,9.77,BR,1658674765
150,Paulo Afonso,-9.4061,-38.2147,300.04,46,95,6.59,BR,1658674765
151,Paita,-5.0892,-81.1144,293.17,77,20,5.91,PE,1658674765
152,Kailua,21.4022,-157.7394,297.67,80,15,2.24,US,1658674766
153,Dagua,3.6569,-76.6886,298.43,71,93,0.44,CO,1658674766
154,Goderich,43.7501,-81.7165,294.77,94,100,3.09,CA,1658674766
155,Kendari,-3.945,122.4989,295.68,82,8,1.35,ID,1658674767
156,Geraldton,-28.7667,114.6,284.38,93,100,2.57,AU,1658674767
157,Aswān,24.0934,32.907,315.76,9,0,5.14,EG,1658674767
158,Manggar,-2.8833,108.2667,300.05,83,67,4.96,ID,1658674767
159,Lappeenranta,61.0587,28.1887,291.93,88,75,3.09,FI,1658674768
160,Bengkulu,-3.8004,102.2655,298.2,89,98,1.43,ID,1658674768
161,Torbay,47.6666,-52.7314,302.53,55,20,4.12,CA,1658674768
162,Kavaratti,10.5669,72.642,300.66,78,93,5.78,IN,1658674769
163,Yellowknife,62.456,-114.3525,288.46,94,75,2.57,CA,1658674769
164,Anadyr,64.75,177.4833,280.43,75,0,2.0,RU,1658674769
165,San Patricio,28.017,-97.5169,305.08,54,7,5.99,US,1658674770
166,Muravlenko,63.7898,74.523,285.05,79,100,5.44,RU,1658674770
167,Hobyo,5.3505,48.5268,298.34,78,44,11.74,SO,1658674770
168,Hasanpur,28.7167,78.2833,306.75,47,100,4.62,IN,1658674770
169,Bilibino,68.0546,166.4372,278.6,79,35,2.76,RU,1658674771
170,Saint-Joseph,-21.3667,55.6167,294.38,82,72,4.47,RE,1658674771
171,Mar del Plata,-38.0023,-57.5575,285.98,94,75,2.06,AR,1658674771
172,São Filipe,14.8961,-24.4956,298.82,83,93,0.37,CV,1658674772
173,Örebro,59.2741,15.2066,294.96,34,20,5.14,SE,1658674772
174,Faanui,-16.4833,-151.75,299.07,77,13,5.41,PF,1658674772
175,Avarua,-21.2078,-159.775,294.18,52,20,2.57,CK,1658674773
176,Hemnesberget,66.2333,13.6333,290.69,80,48,1.59,NO,1658674773
177,Shenjiamen,29.9576,122.298,298.46,90,6,3.56,CN,1658674773
178,Masindi,1.6744,31.715,297.44,55,91,1.17,UG,1658674773
179,Cabo San Lucas,22.8909,-109.9124,301.27,87,85,1.67,MX,1658674657
180,Cape Canaveral,28.4058,-80.6048,305.42,68,0,3.6,US,1658674526
181,Saint Anthony,45.0205,-93.218,296.56,61,20,6.69,US,1658674774
182,Isangel,-19.55,169.2667,297.63,88,0,1.98,VU,1658674774
183,Saint George,37.1041,-113.5841,304.4,39,38,2.59,US,1658674774
184,Karakulino,56.012,53.7067,297.95,64,12,1.81,RU,1658674775
185,Hadgāon,19.5,77.6667,297.93,85,100,3.46,IN,1658674780
186,Atasū,48.6814,71.6433,297.18,28,0,6.73,KZ,1658674780
187,Skibbereen,51.55,-9.2667,290.99,84,26,10.59,IE,1658674781
188,Aklavik,68.2191,-135.0107,281.15,93,100,2.06,CA,1658674781
189,Fortuna,40.5982,-124.1573,285.36,79,9,1.37,US,1658674781
190,Mehamn,71.0357,27.8492,285.12,71,88,6.17,NO,1658674782
191,Petropavlovsk-Kamchatskiy,53.0452,158.6483,284.48,100,100,5.0,RU,1658674782
192,Mersing,2.4312,103.8405,300.1,89,40,1.54,MY,1658674782
193,Mundargi,15.2167,75.9,297.36,75,94,6.53,IN,1658674783
194,Takoradze,4.8845,-1.7554,298.88,72,91,4.62,GH,1658674783
195,Hamilton,39.1834,-84.5333,304.12,72,100,2.68,US,1658674564
196,Nicolás Bravo,18.45,-88.9167,301.89,72,68,2.09,MX,1658674783
197,Nioro,13.35,-15.75,301.52,64,99,2.79,GM,1658674783
198,Lincoln,40.8,-96.667,299.34,75,100,4.47,US,1658674489
199,Krasnosel'kup,65.7,82.4667,286.83,97,100,9.43,RU,1658674784
200,Saint-Augustin,51.226,-58.6502,296.81,63,56,4.73,CA,1658674784
201,Port Blair,11.6667,92.75,300.55,82,69,1.5,IN,1658674784
202,Batangafo,7.3008,18.2833,302.78,68,65,1.07,CF,1658674785
203,Durazno,-33.4131,-56.5006,293.12,88,20,4.12,UY,1658674767
204,Kemijärvi,66.7131,27.4306,289.81,45,98,2.18,FI,1658674785
205,Samaná,19.2056,-69.3369,300.27,89,40,2.06,DO,1658674785
206,Lebu,-37.6167,-73.65,282.36,96,100,2.33,CL,1658674786
207,Grindavik,63.8424,-22.4338,286.12,93,75,5.66,IS,1658674786
208,Ixtapa,20.7,-105.2,301.05,84,99,0.45,MX,1658674786
209,Salalah,17.0151,54.0924,298.25,92,100,4.55,OM,1658674608
210,Andenes,69.3143,16.1194,285.14,76,40,4.63,NO,1658674787
211,Souillac,-20.5167,57.5167,294.36,73,75,5.14,MU,1658674787
212,Kaduna,10.5222,7.4383,299.77,72,86,2.28,NG,1658674756
213,Port Elizabeth,-33.918,25.5701,287.31,92,75,6.17,ZA,1658674787
214,Zolotukhino,52.0842,36.3772,301.19,57,55,2.51,RU,1658674788
215,Jardim,-21.4803,-56.1381,306.05,23,94,4.1,BR,1658674788
216,Bull Savanna,17.8868,-77.5902,301.17,66,100,3.7,JM,1658674788
217,Perth,-31.9333,115.8333,284.22,90,20,2.57,AU,1658674576
218,Arrondissement de Saint-Denis,48.9167,2.3333,306.61,34,0,5.14,FR,1658674567
219,Jatai,-17.8814,-51.7144,302.61,25,60,3.96,BR,1658674789
220,Subiaco,41.9254,13.0941,309.74,48,0,4.36,IT,1658674789
221,Somerset,40.5668,-74.5496,307.61,46,42,2.24,US,1658674789
222,Sunrise Manor,36.2111,-115.0731,307.26,35,10,1.34,US,1658674790
223,Tanout,14.9709,8.8879,308.29,31,2,2.16,NE,1658674790
224,Batemans Bay,-35.7167,150.1833,284.87,95,12,1.54,AU,1658674790
225,Qaanaaq,77.484,-69.3632,276.99,93,100,0.52,GL,1658674791
226,Ekhabi,53.5102,142.9671,287.46,96,19,4.08,RU,1658674791
227,Helong,42.5397,128.9972,290.58,99,76,1.62,CN,1658674791
228,Lompoc,34.6391,-120.4579,286.77,86,100,3.13,US,1658674792
229,Cherskiy,68.75,161.3,282.31,64,39,2.29,RU,1658674792
230,Bariloche,-41.1456,-71.3082,277.17,93,75,2.06,AR,1658674641
231,Meaford,44.6001,-80.583,294.96,91,100,6.08,CA,1658674564
232,Kupang,-10.1667,123.5833,295.55,69,80,4.72,ID,1658674798
233,Visby,57.6409,18.296,295.96,60,0,5.66,SE,1658674798
234,Pingliang,35.5392,106.6861,292.57,81,79,3.32,CN,1658674798
235,Uwajima,33.2238,132.56,297.18,87,72,2.64,JP,1658674799
236,Bandarbeyla,9.4942,50.8122,298.29,81,100,14.5,SO,1658674799
237,Mountain Home,43.133,-115.6912,296.95,23,0,5.79,US,1658674782
238,Thompson,55.7435,-97.8558,290.24,63,75,3.6,CA,1658674799
239,Souris,49.6172,-100.2612,289.67,88,100,3.58,CA,1658674800
240,Bathsheba,13.2167,-59.5167,303.49,81,20,7.72,BB,1658674800
241,Najrān,17.4924,44.1277,308.51,27,42,6.53,SA,1658674800
242,Pechora,65.1472,57.2244,287.81,56,37,4.9,RU,1658674801
243,Codrington,-38.2667,141.9667,285.13,82,100,6.32,AU,1658674801
244,Kenai,60.5544,-151.2583,285.42,88,99,3.66,US,1658674801
245,Wolfville,45.0835,-64.3655,305.75,68,59,0.45,CA,1658674802
246,Kousséri,12.0769,15.0306,307.77,37,25,1.07,CM,1658674803
247,São Gabriel da Cachoeira,-0.1303,-67.0892,297.5,92,100,1.41,BR,1658674803
248,Lázaro Cárdenas,17.9583,-102.2,300.71,72,100,1.35,MX,1658674805
249,Dongsheng,39.8161,109.9776,293.76,49,100,9.03,CN,1658674805
250,Ubari,26.5921,12.7805,309.26,13,0,4.74,LY,1658674806
251,Tasiilaq,65.6145,-37.6368,277.03,84,44,2.66,GL,1658674806
252,Piliscsaba,47.6342,18.8289,305.47,26,25,5.86,HU,1658674808
253,Touros,-5.1989,-35.4608,300.26,76,98,8.37,BR,1658674666
254,Pangnirtung,66.1451,-65.7125,285.75,62,50,1.81,CA,1658674809
255,Milići,44.1711,19.0903,301.8,44,84,4.39,BA,1658674809
256,Vestmanna,62.1564,-7.1664,284.66,66,100,7.2,FO,1658674810
257,Remscheid,51.1833,7.2,304.92,45,24,1.73,DE,1658674632
258,Camacha,33.0833,-16.3333,297.83,69,20,8.75,PT,1658674811
259,Nome,64.5011,-165.4064,279.91,98,97,3.34,US,1658674812
260,Hong Kong,22.2855,114.1577,306.03,79,0,4.02,HK,1658674536
261,Kumul,42.8,93.45,307.64,15,88,5.59,CN,1658674812
262,Necochea,-38.5473,-58.7368,284.21,81,100,3.81,AR,1658674813
263,Saint Paul Harbor,57.79,-152.4072,284.88,94,100,3.6,US,1658674813
264,Kovdor,67.5662,30.4758,286.39,59,100,2.1,RU,1658674814
265,Ardakān,32.31,54.0175,314.55,7,7,5.84,IR,1658674815
266,Richards Bay,-28.783,32.0377,290.91,60,12,8.85,ZA,1658674815
267,Tyazhinskiy,56.116,88.524,285.92,95,100,1.99,RU,1658674815
268,Kirakira,-10.4544,161.9205,298.96,83,6,3.14,SB,1658674816
269,San Rafael del Sur,11.8485,-86.4384,300.49,69,99,5.66,NI,1658674816
270,‘Ewa Beach,21.3156,-158.0072,297.64,76,3,3.58,US,1658674817
271,Zharkent,44.1628,80.0,303.17,20,2,5.14,KZ,1658674817
272,Nanyamba,-10.6833,39.8333,297.41,56,31,5.0,TZ,1658674818
273,Zonguldak,41.25,31.8333,295.96,49,0,3.45,TR,1658674818
274,Jibou,47.2667,23.25,301.77,31,99,8.3,RO,1658674819
275,Dalhousie,32.5333,75.9833,290.28,88,100,2.16,IN,1658674819
276,Upata,8.0086,-62.3989,301.59,62,86,2.91,VE,1658674820
277,Coyhaique,-45.5752,-72.0662,271.9,91,83,1.59,CL,1658674821
278,Dawei,14.0833,98.2,299.03,93,100,0.6,MM,1658674826
279,Villa Carlos Paz,-31.4241,-64.4978,290.31,80,83,1.7,AR,1658674811
280,Laas,46.6166,10.7002,304.09,56,67,1.87,IT,1658674827
281,Longyearbyen,78.2186,15.6401,283.06,81,75,7.2,SJ,1658674827
282,Mount Gambier,-37.8333,140.7667,287.33,69,100,5.09,AU,1658674828
283,Rio Grande,-32.035,-52.0986,291.21,86,89,1.88,BR,1658674612
284,Lagoa,39.05,-27.9833,296.35,86,9,4.38,PT,1658674826
285,Khani,41.9563,42.9566,291.91,81,72,2.46,GE,1658674828
286,Adelaide,-34.9333,138.6,287.68,82,100,5.14,AU,1658674693
287,Juba,4.8517,31.5825,301.37,61,99,0.76,SS,1658674829
288,Russell,32.3502,-85.1999,303.69,55,14,1.41,US,1658674829
289,Willmar,45.1219,-95.0433,295.16,68,0,6.69,US,1658674829
290,Sassandra,4.95,-6.0833,298.4,75,100,4.04,CI,1658674830
291,Neiafu,-18.65,-173.9833,297.12,64,100,7.42,TO,1658674830
292,Hualmay,-11.0964,-77.6139,291.11,76,62,3.21,PE,1658674830
293,Payson,40.0444,-111.7321,301.23,49,100,0.89,US,1658674831
294,‘Āhuimanu,21.4447,-157.8378,297.51,80,13,2.24,US,1658674831
295,Mankono,8.0586,-6.1897,298.71,76,100,2.99,CI,1658674831
296,Erin,36.3184,-87.6947,304.32,54,89,4.0,US,1658674832
297,Muros,42.7762,-9.0603,300.75,68,34,3.84,ES,1658674832
298,Stephenville,32.2207,-98.2023,304.13,54,0,5.66,US,1658674833
299,Dinguiraye,11.3,-10.7167,298.94,80,99,1.22,GN,1658674833
300,Cam Ranh,11.9214,109.1591,301.13,83,20,2.06,VN,1658674833
301,Nurota,40.5614,65.6886,308.81,12,0,3.65,UZ,1658674834
302,Pevek,69.7008,170.3133,275.34,89,87,1.26,RU,1658674834
303,Anqiu,36.4342,119.1925,297.15,87,0,3.37,CN,1658674835
304,Kiama,-34.6833,150.8667,284.03,91,4,2.05,AU,1658674835
305,Barão de Melgaço,-16.1944,-55.9675,309.66,18,14,2.91,BR,1658674835
306,Masvingo,-20.0637,30.8277,295.55,22,3,3.77,ZW,1658674836
307,Iqaluit,63.7506,-68.5145,281.87,87,100,1.79,CA,1658674813
308,Guerrero Negro,27.9769,-114.0611,293.66,76,99,2.72,MX,1658674740
309,Mossamedes,-15.1961,12.1522,293.07,77,40,3.95,AO,1658674836
310,Sobolevo,54.4299,31.8996,291.87,93,100,3.47,RU,1658674837
311,Ilulissat,69.2167,-51.1,280.16,93,20,1.54,GL,1658674837
312,Oktyabr'skoye,43.0645,44.7417,295.23,60,75,4.0,RU,1658674837
313,Gari,59.4307,62.3497,295.47,68,23,2.21,RU,1658674838
314,Tateyama,34.9833,139.8667,299.32,88,100,5.85,JP,1658674838
315,Kavieng,-2.5744,150.7967,301.05,77,32,3.91,PG,1658674839
316,Les Cayes,18.2,-73.75,303.79,57,15,1.09,HT,1658674839
317,Wukari,7.85,9.7833,301.48,67,100,2.5,NG,1658674840
318,Mahébourg,-20.4081,57.7,293.85,70,11,5.57,MU,1658674840
319,Marsh Harbour,26.5412,-77.0636,301.52,70,86,6.48,BS,1658674832
320,Nouadhibou,20.931,-17.0347,294.24,93,22,5.57,MR,1658674841
321,Arlit,18.7369,7.3853,313.13,17,8,1.51,NE,1658674841
322,Bacolod City,10.6667,122.95,298.97,86,100,1.84,PH,1658674847
323,Sur,22.5667,59.5289,306.89,58,73,3.33,OM,1658674847
324,Oistins,13.0667,-59.5333,302.88,70,57,4.98,BB,1658674848
325,Vavatenina,-17.4667,49.2,291.05,95,16,0.84,MG,1658674848
326,Vila Franca do Campo,37.7167,-25.4333,297.38,73,63,2.53,PT,1658674849
327,Ukiah,39.1502,-123.2078,300.4,67,0,0.0,US,1658674463
328,Caconda,-13.7333,15.0667,300.49,16,3,1.67,AO,1658674849
329,Iberia,29.9502,-91.7507,306.46,66,15,1.53,US,1658674849
330,Whitehorse,60.7161,-135.0538,283.32,76,100,4.02,CA,1658674850
331,Nova Olinda do Norte,-3.8881,-59.0942,307.1,36,25,1.93,BR,1658674850
332,Huarmey,-10.0681,-78.1522,292.13,77,53,3.82,PE,1658674851
333,Broken Hill,-31.95,141.4333,288.24,61,36,6.68,AU,1658674851
334,La Grande,45.3246,-118.0877,295.38,43,0,1.19,US,1658674851
335,Lorengau,-2.0226,147.2712,300.87,80,59,3.16,PG,1658674852
336,Verkhoyansk,67.5447,133.385,287.25,88,6,1.36,RU,1658674852
337,Chara,56.9064,118.2631,291.83,70,28,2.01,RU,1658674852
338,Uruçuí,-7.2294,-44.5561,307.53,30,46,4.67,BR,1658674853
339,Alofi,-19.0595,-169.9187,296.01,62,100,7.02,NU,1658674853
340,Abu Kamal,34.4506,40.9171,311.13,11,0,7.82,SY,1658674853
341,Narsaq,60.9167,-46.05,284.27,65,19,0.89,GL,1658674854
342,Booué,-0.0921,11.9385,303.52,52,96,1.69,GA,1658674854
343,Whyalla,-33.0333,137.5833,287.03,79,100,2.65,AU,1658674855
344,Saint-Pierre,-21.3393,55.4781,294.98,64,75,2.06,RE,1658674855
345,Jacareacanga,-6.2222,-57.7528,308.11,25,20,2.15,BR,1658674855
346,Airai,-8.9266,125.4092,285.12,87,94,0.88,TL,1658674856
347,Mogadishu,2.0371,45.3438,297.73,81,22,9.23,SO,1658674856
348,Santa Cruz de Barahona,18.2085,-71.1008,303.75,49,4,2.65,DO,1658674824
349,Porosozero,62.7191,32.727,290.0,85,100,0.73,RU,1658674857
350,Wattegama,6.7989,81.4808,299.01,82,100,0.67,LK,1658674857
351,Idah,7.1065,6.7342,299.65,84,94,1.28,NG,1658674858
352,Yulara,-25.2406,130.9889,288.06,51,0,7.72,AU,1658674858
353,Rossland,49.0831,-117.8022,288.49,66,0,0.8,CA,1658674858
354,Rāhuri,19.3833,74.65,297.23,81,100,5.24,IN,1658674859
355,Leningradskiy,69.3833,178.4167,274.43,94,100,1.48,RU,1658674859
356,Acaraú,-2.8856,-40.12,304.37,50,23,6.56,BR,1658674860
